order_id,customer_id,product_id,quantity,order_date
0,4265,786,2,2026-03-24
1,2187,844,5,2026-01-14
2,8880,927,3,2026-02-02
3,9811,874,3,2026-02-05
4,1672,835,2,2026-01-02
5,6373,152,1,2026-03-08
6,7857,609,2,2026-02-07
7,2481,232,1,2026-03-10
8,782,774,4,2026-04-11
9,4744,795,4,2026-01-13
10,9260,339,3,2026-04-11
11,564,196,3,2026-02-26
12,3913,439,2,2026-03-11
13,2721,627,4,2026-02-21
14,3239,792,4,2026-01-26
15,4946,317,4,2026-03-14
16,8367,419,5,2026-02-13
17,3944,779,4,2026-01-28
18,4668,90,3,2026-01-22
19,4628,9,4,2026-03-17
20,2277,811,5,2026-01-18
21,5572,483,2,2026-04-01
22,1517,466,1,2026-01-07
23,5758,853,1,2026-02-15
24,2694,639,2,2026-02-22
25,2970,129,5,2026-01-14
26,8744,237,1,2026-03-04
27,7838,560,5,2026-03-23
28,7777,104,1,2026-02-15
29,4515,935,5,2026-01-24
30,5334,425,2,2026-03-30
31,1696,440,4,2026-02-15
32,7337,497,2,2026-02-01
33,2472,573,4,2026-04-05
34,4302,893,1,2026-03-01
35,5768,500,2,2026-01-20
36,5292,384,1,2026-03-11
37,8323,495,2,2026-02-13
38,3680,546,3,2026-01-08
39,6108,510,4,2026-03-26
40,380,492,5,2026-02-04
41,3815,794,4,2026-02-22
42,139,266,3,2026-03-29
43,15,340,1,2026-02-13
44,7505,571,4,2026-02-02
45,1854,645,3,2026-02-18
46,2938,460,4,2026-03-02
47,1502,675,5,2026-04-08
48,5746,369,1,2026-01-10
49,9160,912,1,2026-01-26
50,9835,102,2,2026-02-12
51,350,196,5,2026-03-04
52,7631,340,5,2026-02-17
53,5831,229,4,2026-02-23
54,3911,932,5,2026-04-13
55,2111,883,4,2026-02-10
56,8466,245,3,2026-02-03
57,3112,170,1,2026-02-19
58,9912,535,3,2026-01-23
59,8167,120,1,2026-02-10
60,8734,287,5,2026-04-08
61,37,907,4,2026-02-10
62,3012,49,4,2026-03-21
63,8688,560,1,2026-01-16
64,9913,395,5,2026-02-06
65,7155,49,4,2026-02-04
66,20,479,4,2026-03-17
67,1782,316,2,2026-02-24
68,2352,974,3,2026-03-12
69,4646,509,3,2026-04-07
70,125,909,3,2026-02-11
71,671,408,4,2026-04-10
72,588,301,2,2026-02-25
73,2413,17,5,2026-02-22
74,2563,299,5,2026-01-03
75,9354,821,2,2026-04-10
76,706,396,3,2026-01-16
77,4807,963,5,2026-02-12
78,9146,539,3,2026-04-13
79,8138,431,5,2026-02-01
80,8128,333,1,2026-01-16
81,5623,910,4,2026-01-04
82,2965,593,3,2026-01-27
83,2960,367,5,2026-03-04
84,9677,276,2,2026-04-05
85,5877,803,5,2026-02-07
86,7421,944,3,2026-03-16
87,5284,469,1,2026-04-02
88,5833,927,4,2026-04-07
89,4215,452,1,2026-01-08
90,8592,674,3,2026-02-27
91,1622,38,1,2026-03-28
92,7631,467,1,2026-01-31
93,6576,768,4,2026-03-27
94,8587,708,2,2026-03-16
95,3627,635,2,2026-02-21
96,932,84,5,2026-01-31
97,2600,344,2,2026-01-10
98,3224,172,3,2026-03-13
99,7813,297,2,2026-04-14
100,7324,493,4,2026-02-06
101,1579,828,5,2026-02-26
102,2401,837,3,2026-01-25
103,1919,338,2,2026-03-15
104,3070,523,5,2026-02-04
105,4426,375,3,2026-02-20
106,8376,753,3,2026-01-07
107,1430,818,2,2026-01-10
108,4367,561,4,2026-03-16
109,867,333,4,2026-01-03
110,4058,769,1,2026-01-05
111,8573,53,5,2026-03-30
112,4721,765,3,2026-02-02
113,5500,337,3,2026-02-23
114,9178,817,2,2026-02-25
115,2366,426,2,2026-01-14
116,9769,128,4,2026-02-07
117,9139,971,3,2026-03-31
118,4238,132,2,2026-01-03
119,917,188,1,2026-04-15
120,8850,149,4,2026-01-18
121,7901,783,4,2026-04-09
122,3284,927,4,2026-04-05
123,4217,559,2,2026-01-15
124,3836,476,1,2026-03-20
125,1027,301,5,2026-01-19
126,8379,164,2,2026-01-30
127,1978,735,2,2026-02-22
128,5509,629,4,2026-01-24
129,3592,523,1,2026-01-09
130,2040,846,1,2026-01-31
131,3580,867,4,2026-01-05
132,5846,724,2,2026-03-24
133,9504,678,3,2026-02-17
134,1564,397,1,2026-02-24
135,8402,691,4,2026-03-19
136,8053,261,4,2026-02-17
137,7515,152,1,2026-03-09
138,9479,234,5,2026-02-09
139,6974,210,4,2026-04-12
140,311,571,2,2026-01-11
141,9847,955,5,2026-02-05
142,4548,898,3,2026-02-10
143,9279,598,2,2026-02-22
144,7922,393,1,2026-04-09
145,5201,865,4,2026-02-25
146,7379,773,5,2026-02-17
147,5872,366,3,2026-03-16
148,3970,257,5,2026-04-11
149,4725,516,2,2026-02-25
150,262,490,2,2026-03-25
151,1284,10,3,2026-04-02
152,8668,868,3,2026-02-23
153,751,176,3,2026-02-08
154,3168,865,2,2026-02-11
155,5894,298,5,2026-04-12
156,8692,550,1,2026-03-08
157,5561,746,2,2026-01-11
158,8968,143,2,2026-04-13
159,3794,293,3,2026-03-14
160,6862,606,5,2026-02-12
161,3716,847,1,2026-01-21
162,4726,26,3,2026-02-14
163,2036,819,3,2026-03-24
164,3380,759,4,2026-02-13
165,5822,993,4,2026-02-22
166,8582,804,4,2026-04-04
167,848,728,3,2026-03-31
168,6776,82,4,2026-02-20
169,407,308,3,2026-01-06
170,8008,89,4,2026-02-13
171,4266,731,1,2026-01-05
172,9761,811,2,2026-03-29
173,5244,526,4,2026-01-12
174,2883,392,3,2026-01-03
175,4058,208,3,2026-03-18
176,6403,777,1,2026-03-26
177,9113,885,4,2026-03-20
178,1655,271,2,2026-04-14
179,2667,1,1,2026-04-05
180,9141,186,4,2026-02-22
181,834,361,4,2026-03-28
182,2706,704,1,2026-04-04
183,1742,441,1,2026-04-06
